# Directed graph: G_er.txt_500.txt 
# Nodes: 500 Edges: 2500
# FromNodeId	ToNodeId
0	132
0	274
0	481
1	238
1	261
1	336
1	433
1	472
2	222
2	313
2	417
3	37
3	63
3	280
3	343
3	399
4	145
4	167
4	300
5	191
5	304
6	100
6	106
6	151
6	174
6	230
6	319
6	404
7	15
7	224
7	359
7	391
8	11
8	89
8	151
8	321
8	364
9	67
9	134
9	293
9	490
10	117
10	211
10	389
10	433
11	151
11	161
11	191
11	195
11	255
11	381
12	151
12	156
12	330
12	437
13	69
13	212
13	460
14	8
14	81
14	292
14	355
14	480
15	174
15	282
15	336
15	426
15	431
15	458
15	489
16	109
16	260
16	440
16	445
17	35
17	83
17	290
17	291
17	307
17	401
18	323
18	442
19	40
19	76
19	112
19	159
19	162
19	232
19	315
20	25
20	141
20	473
21	51
21	136
21	174
21	416
21	495
22	74
22	83
22	121
22	177
22	240
22	352
22	355
22	443
23	66
23	170
23	433
24	61
24	139
24	212
24	238
24	259
24	273
24	346
25	15
25	148
25	162
25	403
25	433
25	439
25	476
26	94
26	150
26	332
26	337
26	411
26	418
26	430
26	482
27	31
27	32
27	220
27	458
28	76
28	129
28	159
28	354
29	93
29	114
30	22
30	132
30	140
30	205
30	364
30	379
30	395
31	36
31	50
31	162
31	175
31	278
31	417
32	97
32	194
33	117
33	198
33	206
33	351
33	368
33	415
33	468
34	47
34	51
34	91
34	104
34	128
34	166
34	316
34	400
34	449
35	72
35	76
35	132
35	146
35	216
35	293
36	242
36	295
37	4
37	356
38	27
38	75
38	96
38	101
38	277
38	466
39	142
39	175
39	285
39	409
39	423
39	483
40	256
40	285
41	6
41	25
41	30
41	32
41	56
41	69
41	120
41	247
41	343
41	452
41	499
42	131
42	160
42	200
42	299
42	363
42	432
43	63
43	221
43	255
43	330
43	420
43	475
44	52
44	79
44	98
44	273
44	293
44	413
44	436
45	269
45	294
45	386
46	23
46	34
46	194
46	315
46	336
47	464
48	165
48	340
48	391
48	436
48	466
49	65
49	80
49	117
49	137
49	148
49	169
49	188
49	202
49	215
49	380
50	19
50	238
50	247
50	254
50	380
50	383
50	407
51	254
51	363
51	438
52	75
52	134
52	160
52	186
52	326
52	337
52	374
53	156
53	342
53	391
53	420
54	80
54	122
54	197
54	318
54	355
54	482
54	491
55	153
55	156
55	226
55	329
55	477
56	57
56	98
56	241
57	264
57	275
57	466
58	36
58	111
58	173
58	185
58	346
58	414
59	125
59	249
59	268
60	17
60	25
60	168
60	169
60	232
60	245
60	268
60	335
60	418
60	459
60	479
61	34
61	76
61	100
61	490
62	65
62	143
62	163
62	376
62	396
62	435
63	21
63	91
63	126
63	147
63	185
63	246
63	264
63	287
63	291
63	360
64	34
64	46
64	122
64	207
64	217
64	222
64	352
64	435
64	495
65	17
65	144
65	151
65	236
65	410
66	101
66	212
66	231
66	247
66	261
66	402
66	452
67	297
67	406
67	445
68	76
68	112
68	324
69	239
69	385
69	472
70	22
70	37
