# Directed graph: G_er.txt 
# Nodes: 100 Edges: 500
# FromNodeId	ToNodeId
0	27
1	5
1	8
1	14
1	21
1	69
1	80
1	88
2	3
2	18
2	32
2	50
3	5
3	56
3	74
3	88
3	91
4	13
4	32
4	48
4	65
4	84
4	92
5	39
5	53
5	83
6	13
6	15
6	31
6	48
7	3
7	10
7	37
7	55
7	56
7	69
7	86
7	96
8	2
8	34
8	39
8	50
8	58
8	61
8	71
8	88
8	89
8	99
9	14
9	39
9	45
9	90
10	16
10	67
11	9
11	10
11	74
12	19
12	31
12	33
13	85
14	3
14	6
14	15
14	34
14	46
14	87
15	22
15	39
15	41
15	60
15	74
15	75
16	5
16	24
16	77
16	95
16	97
17	4
17	39
17	55
17	66
17	99
18	27
18	64
19	14
19	29
19	35
19	44
19	54
19	65
19	92
20	18
20	39
20	50
20	78
20	92
21	0
21	31
21	36
21	50
21	61
21	72
22	0
22	6
22	26
22	41
22	45
22	66
22	73
22	75
22	79
22	92
23	48
23	51
23	62
23	68
24	12
24	31
24	58
24	77
24	85
25	20
25	26
25	33
25	40
25	43
25	53
25	64
25	85
26	18
26	67
26	76
27	18
27	53
27	59
28	20
28	47
28	52
28	74
29	12
29	52
29	57
29	74
29	76
29	81
29	84
29	85
29	95
30	0
30	45
30	48
30	82
30	89
31	3
31	23
31	41
31	44
32	20
32	24
32	46
32	78
33	19
33	25
33	48
33	69
34	76
34	86
34	94
35	1
35	62
35	89
36	21
36	32
36	50
36	57
36	78
36	99
37	2
37	7
37	14
37	31
37	90
38	42
38	44
38	82
39	54
39	91
40	16
40	30
40	35
40	42
40	50
40	51
40	53
40	56
40	85
40	87
40	95
41	1
41	5
41	15
41	16
41	39
41	55
41	59
41	68
41	84
42	4
42	69
42	73
42	81
42	92
43	3
43	26
43	27
43	37
43	64
43	78
44	10
44	71
45	2
45	14
45	91
46	8
46	27
47	4
47	85
47	91
48	3
48	16
48	22
48	82
48	88
48	90
48	91
49	11
49	30
49	57
49	76
50	29
50	69
50	75
50	83
51	66
51	89
52	60
52	68
53	13
53	54
53	66
53	91
53	99
54	19
54	26
54	75
54	98
55	33
55	34
55	35
55	47
55	54
55	75
55	87
56	64
56	66
56	99
57	30
57	42
57	43
57	48
57	49
57	70
57	72
57	82
57	93
58	6
58	30
58	40
58	47
58	56
58	99
59	22
59	51
59	84
59	92
60	63
61	0
61	7
61	8
61	32
61	45
61	54
61	57
61	99
62	7
62	28
62	77
62	97
63	14
63	32
63	68
63	73
64	7
64	9
64	42
65	6
65	9
65	32
65	40
65	50
65	68
65	80
65	91
66	9
66	12
66	13
66	26
66	43
66	53
66	63
66	65
66	76
66	90
67	3
67	32
67	60
67	75
67	81
68	0
68	3
68	20
68	37
68	45
68	46
68	48
69	21
69	35
69	64
69	79
69	85
69	99
70	37
70	58
70	80
70	81
70	82
70	91
70	95
71	17
71	29
71	96
72	20
72	32
72	59
72	81
73	0
73	7
73	8
73	9
73	34
73	46
73	71
74	6
74	19
74	35
74	84
75	0
75	28
75	80
76	2
76	28
76	62
76	82
76	89
76	94
76	97
77	24
77	40
78	7
78	33
78	39
78	40
78	76
78	81
79	19
79	27
79	80
79	92
80	6
80	8
80	18
80	25
80	26
80	34
80	58
81	37
81	41
81	61
81	76
82	28
82	68
82	76
82	88
83	11
83	34
83	47
83	50
83	53
83	92
84	11
84	20
84	60
84	63
84	81
84	96
85	3
85	15
85	17
85	18
85	24
85	52
85	69
85	83
85	91
86	52
86	99
87	6
87	32
87	37
87	53
87	66
88	1
88	13
88	19
88	26
88	38
88	41
88	58
88	84
88	94
88	97
89	5
89	31
89	32
89	82
89	92
90	1
90	8
90	22
90	42
90	45
90	48
90	74
90	89
91	21
91	23
91	78
91	96
92	34
92	52
92	86
93	5
93	6
93	7
93	33
93	88
93	94
93	99
94	60
94	89
94	97
94	99
95	28
95	34
95	50
95	57
95	64
95	88
96	10
96	12
96	19
96	27
96	49
96	71
97	29
97	77
97	83
97	93
98	3
98	20
98	28
98	43
98	45
98	53
99	46
99	68
99	80
99	82
99	91
