# Directed graph: G_er.txt_1000.txt 
# Nodes: 1000 Edges: 5000
# FromNodeId	ToNodeId
0	355
0	609
0	616
0	772
1	309
1	415
1	592
2	12
2	408
2	867
2	950
3	141
3	653
3	814
4	33
4	241
4	959
5	126
5	292
5	343
6	5
6	210
6	290
6	499
7	145
7	208
7	230
7	465
7	498
7	692
8	107
8	493
8	635
8	954
9	465
9	521
9	651
9	722
10	19
10	338
10	550
10	792
10	962
11	684
11	728
11	945
12	711
13	73
13	163
13	577
14	250
14	297
14	810
14	873
15	149
15	532
15	663
15	694
15	786
15	815
15	864
15	945
16	90
16	161
16	309
16	504
16	708
16	727
16	763
17	12
17	516
17	522
17	669
18	401
18	406
18	490
18	850
18	921
18	946
19	54
19	330
19	414
19	849
20	441
20	554
20	746
21	184
21	250
21	283
21	627
21	822
22	175
22	595
22	843
22	894
23	69
23	305
23	579
23	613
23	813
23	862
24	575
24	736
24	794
25	21
25	118
25	128
25	422
25	449
25	745
26	522
26	663
26	912
27	580
27	584
27	999
28	10
28	124
28	250
28	353
28	504
28	638
29	261
29	445
29	583
29	617
29	709
29	714
29	951
30	29
30	106
30	320
30	441
30	536
30	555
30	821
31	301
31	326
31	565
31	681
32	93
32	98
32	199
32	328
32	340
32	485
32	736
33	1
33	448
33	515
33	586
33	609
33	687
33	728
33	877
33	985
34	516
34	606
35	42
35	565
35	640
35	941
36	216
36	415
36	453
36	640
36	832
36	840
37	179
37	452
37	595
37	610
37	778
38	45
38	151
38	645
38	987
39	101
39	157
39	257
39	262
39	307
39	930
40	62
40	226
40	382
40	481
40	507
40	559
40	752
40	952
41	77
41	752
41	761
42	398
42	408
43	4
43	91
43	515
43	645
43	680
44	380
44	420
44	692
44	984
45	23
45	49
45	525
45	590
45	862
46	4
46	33
46	155
46	178
46	629
46	853
46	874
46	898
46	986
47	112
47	286
47	571
47	586
47	707
48	194
48	989
49	98
49	778
50	121
50	491
50	835
50	904
51	332
51	418
51	426
52	197
52	890
52	940
52	996
53	152
53	321
53	591
53	718
53	810
53	935
54	144
54	815
55	110
55	211
55	497
56	5
56	374
56	790
56	840
56	896
57	106
57	468
57	547
57	779
57	940
58	410
58	467
