# Directed graph: G_er.txt_200 
# Nodes: 200 Edges: 1000
# FromNodeId	ToNodeId
0	61
0	128
0	172
0	173
1	83
1	90
1	93
1	129
1	147
1	157
1	171
1	179
1	190
2	87
2	95
2	112
2	131
3	2
3	72
3	108
3	191
4	79
4	104
4	120
4	152
4	195
5	20
5	26
5	190
6	12
6	59
6	164
7	124
7	141
7	156
7	188
7	194
8	1
8	16
8	46
8	48
8	88
8	110
8	124
9	32
9	80
9	100
9	152
9	158
9	166
9	188
10	13
10	67
10	72
10	81
10	93
10	107
10	109
11	1
11	76
11	120
11	145
11	180
12	27
12	28
12	67
12	74
12	90
12	106
13	67
13	89
13	104
13	113
13	122
13	126
13	134
13	140
13	159
13	165
14	69
14	81
14	104
14	128
14	172
14	180
14	193
14	198
15	42
15	55
15	159
16	31
16	138
16	139
16	165
17	9
17	27
17	35
17	48
17	52
17	89
17	150
17	180
18	14
18	62
19	15
19	116
19	171
19	189
20	30
20	73
20	148
20	197
21	15
21	50
21	56
21	196
22	46
22	60
22	61
23	5
23	171
24	4
24	10
24	113
24	121
24	143
24	176
25	57
25	59
25	67
25	144
25	165
25	181
25	196
26	48
26	79
26	81
27	7
27	9
27	28
27	115
27	137
27	146
27	189
28	22
28	57
28	123
28	140
28	153
28	161
28	174
29	88
29	159
30	32
30	38
30	179
31	3
31	15
31	113
31	128
31	131
31	143
32	23
32	55
32	88
32	102
32	118
32	162
33	52
33	73
33	92
33	114
33	118
33	140
33	144
34	41
34	48
34	53
34	64
34	96
34	144
34	150
34	154
34	159
34	183
34	196
35	26
35	103
35	174
36	27
36	68
36	76
36	80
36	178
37	7
37	42
37	87
37	89
37	144
37	170
38	4
38	11
38	77
38	124
38	146
38	181
39	55
39	63
39	140
39	147
39	150
39	151
39	197
40	49
40	105
40	118
40	141
40	145
40	191
40	194
41	1
41	8
41	57
41	81
41	117
41	169
41	196
42	2
42	9
42	77
42	128
42	132
42	169
42	173
42	181
43	0
43	12
43	136
44	0
44	4
44	155
44	175
45	7
45	11
45	60
45	121
46	5
46	49
46	62
46	126
46	134
46	138
47	142
47	160
47	171
48	22
48	52
48	63
48	117
48	138
48	182
48	189
49	75
49	83
49	91
49	136
49	148
49	190
50	24
50	33
50	52
50	74
50	93
50	153
50	164
50	186
51	26
51	131
51	179
52	105
52	115
52	165
53	32
53	50
53	56
53	78
53	84
53	101
53	141
54	7
54	16
54	22
54	62
54	119
54	168
54	176
54	189
55	15
55	78
55	144
56	22
56	72
56	133
57	12
57	32
57	76
57	159
58	103
58	108
58	137
58	140
58	158
59	17
59	58
59	62
59	112
59	118
59	143
59	146
60	58
60	111
60	154
60	173
61	28
61	43
61	89
61	90
61	131
61	148
62	12
62	84
62	129
62	139
62	162
62	167
63	26
63	35
63	83
