# Directed graph: G_rmat.txt 
# Nodes: 100 Edges: 500
# FromNodeId	ToNodeId
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	9
0	10
0	12
0	13
0	15
0	16
0	18
0	19
0	25
0	26
0	28
0	29
0	34
0	37
0	38
0	40
0	43
0	46
0	50
0	51
0	52
0	53
0	54
0	55
0	56
0	57
0	58
0	59
0	60
0	62
0	63
0	64
0	65
0	68
0	69
0	73
0	75
0	76
0	77
0	78
0	79
0	81
0	87
0	93
0	94
0	95
1	0
1	3
1	5
1	6
1	12
1	13
1	15
1	25
1	26
1	28
1	35
1	37
1	40
1	50
1	51
1	53
1	56
1	59
1	62
1	68
1	71
1	75
1	76
1	78
1	81
1	87
1	90
2	0
2	3
2	6
2	12
2	18
2	26
2	28
2	50
2	53
2	56
2	59
2	62
2	78
2	87
3	0
3	1
3	7
3	12
3	13
3	14
3	25
3	26
3	37
3	50
3	51
3	56
3	57
3	63
3	68
3	75
3	76
3	78
4	0
4	12
4	25
4	43
4	50
4	53
4	62
4	75
5	0
5	50
6	0
6	1
6	3
6	12
6	13
6	15
6	19
6	25
6	28
6	31
6	50
6	51
6	53
6	54
6	62
6	65
6	75
6	78
6	81
6	88
7	0
7	3
7	12
7	25
7	43
7	50
7	53
7	62
7	65
8	0
8	1
8	37
8	50
8	56
9	12
10	0
10	6
11	0
11	50
12	0
12	1
12	2
12	3
12	4
12	6
12	7
12	8
12	9
12	13
12	15
12	18
12	25
12	26
12	27
12	28
12	29
12	31
12	37
12	50
12	51
12	53
12	54
12	55
12	56
12	57
12	60
12	75
12	76
12	77
12	78
12	82
13	0
13	3
13	6
13	7
13	12
13	25
13	31
13	37
13	50
13	53
13	56
13	75
14	0
14	3
14	28
15	0
15	1
15	4
15	6
15	7
15	25
15	26
15	27
15	50
15	51
16	0
16	9
16	50
16	56
17	0
18	0
18	4
18	50
18	51
18	52
18	56
18	76
18	78
19	0
19	3
19	50
20	62
21	0
21	25
21	26
21	50
21	52
21	75
23	0
25	0
25	1
25	2
25	3
25	4
25	6
25	7
25	12
25	16
25	21
25	23
25	26
25	31
25	37
25	50
25	51
25	53
25	54
25	56
25	59
25	62
25	63
25	64
25	68
25	78
25	79
25	81
25	90
26	0
26	1
26	3
26	4
26	6
26	50
26	53
26	54
26	56
26	62
26	68
27	0
27	9
27	25
27	40
27	50
28	0
28	1
28	12
28	50
28	51
28	62
28	88
29	50
29	56
29	62
29	63
30	25
31	0
31	15
31	50
31	51
31	53
31	56
31	58
32	0
32	50
32	51
32	53
32	73
33	0
34	51
35	50
37	0
37	1
37	3
37	7
37	13
37	25
37	50
37	51
37	53
37	54
37	56
37	59
37	63
38	0
38	6
38	50
38	59
39	3
39	28
39	50
39	78
40	0
40	1
40	50
43	0
43	6
44	9
44	25
47	0
50	0
50	1
50	2
50	3
50	4
50	6
50	7
50	8
50	9
50	10
50	12
50	13
50	15
50	16
50	18
50	21
50	25
50	26
50	27
50	28
50	29
50	31
50	32
50	37
50	40
50	51
50	53
50	54
50	62
50	71
50	75
50	79
51	0
51	3
51	6
51	7
51	12
51	13
51	15
51	25
51	28
52	0
52	1
52	3
52	12
52	78
53	0
53	1
53	6
53	25
53	26
53	62
54	0
54	3
54	12
54	25
54	31
55	0
55	18
55	51
56	0
56	1
56	12
56	29
56	31
56	38
56	68
57	0
57	1
57	6
57	12
57	15
58	0
58	12
58	25
59	1
59	12
60	31
62	0
62	1
62	3
62	4
62	6
62	12
62	25
62	26
62	28
62	29
62	31
62	51
62	53
62	56
62	75
63	0
63	3
63	4
63	9
63	12
63	25
63	28
63	34
63	53
64	0
64	3
65	1
65	6
65	12
65	25
67	0
68	0
68	1
68	3
68	7
68	56
69	25
70	25
71	25
72	0
74	0
75	0
75	1
75	3
75	10
75	12
75	15
75	18
75	22
75	23
75	25
75	26
75	51
76	0
76	3
76	6
76	12
76	15
76	18
77	0
77	12
78	0
80	10
81	0
81	40
81	50
82	40
82	50
84	12
87	0
87	1
87	2
87	3
87	6
87	15
88	0
88	3
93	0
93	6
95	0
