Reward,Time,Actions
-5,38.0169999599,[(), (188,), (179,), (24,), (), (137,), (147,), (92,), (), (), (33,), (), (109,), (), (), (187,), (), (132,), (), ()]
-2,37.3900001049,[(), (167,), (100,), (), (15,), (101,), (66,), (180,), (), (), (), (), (68,), (), (), (41,), (), (), (187,), ()]
-6,38.2979998589,[(), (100,), (), (156,), (), (23,), (116,), (25,), (), (82,), (), (), (121,), (), (75,), (), (99,), (), (188,), ()]
-1,35.8159999847,[(), (91,), (), (99,), (), (), (191,), (), (41,), (16,), (), (), (124,), (108,), (93,), (), (39,), (), (92,), ()]
7,34.8800001144,[(), (59,), (), (), (), (), (148,), (), (), (7,), (32,), (), (), (), (188,), (129,), (), (180,), (), ()]
-14,35.9409999847,[(), (116,), (76,), (154,), (0,), (119,), (), (147,), (79,), (7,), (171,), (99,), (), (163,), (), (188,), (180,), (), (66,), ()]
-6,37.4749999046,[(59,), (187,), (), (), (58,), (16,), (74,), (0,), (179,), (100,), (), (), (167,), (), (77,), (), (1,), (), (49,), ()]
5,33.7200000286,[(), (7,), (), (34,), (), (), (), (), (196,), (187,), (), (126,), (169,), (), (162,), (101,), (116,), (), (), ()]
0,37.1640000343,[(40,), (), (58,), (), (154,), (), (), (25,), (), (), (91,), (), (15,), (131,), (), (), (49,), (), (), ()]
-7,39.0669999123,[(), (0,), (137,), (23,), (187,), (), (25,), (), (92,), (), (156,), (), (32,), (), (), (58,), (109,), (41,), (), ()]
-3,37.492000103,[(109,), (189,), (79,), (), (91,), (179,), (), (116,), (), (), (41,), (), (), (24,), (), (135,), (99,), (), (129,), ()]
-1,36.8519999981,[(16,), (24,), (), (), (93,), (), (100,), (61,), (), (99,), (), (25,), (), (), (196,), (10,), (), (49,), (41,), ()]
-2,37.257999897,[(), (39,), (), (), (), (85,), (99,), (), (124,), (42,), (), (32,), (), (116,), (), (15,), (8,), (), (), ()]
-1,35.2090001106,[(), (83,), (42,), (), (), (162,), (0,), (104,), (), (), (), (180,), (), (99,), (33,), (), (66,), (116,), (), ()]
-6,38.4809999466,[(199,), (), (117,), (), (15,), (198,), (), (33,), (), (), (), (187,), (74,), (189,), (196,), (), (154,), (42,), (), ()]
-3,37.5970001221,[(), (24,), (), (91,), (75,), (), (197,), (49,), (), (32,), (), (180,), (), (), (), (162,), (124,), (), (74,), ()]
-4,36.4539999962,[(), (24,), (), (117,), (), (180,), (137,), (92,), (), (198,), (), (137,), (88,), (162,), (187,), (), (), (), (), ()]
-6,38.0590000153,[(), (190,), (), (41,), (), (80,), (), (138,), (), (), (172,), (), (137,), (179,), (154,), (), (49,), (), (116,), ()]
-5,35.9989998341,[(), (188,), (148,), (), (), (), (164,), (32,), (), (24,), (), (182,), (), (171,), (109,), (124,), (), (163,), (), ()]
-2,37.0970001221,[(), (49,), (), (38,), (), (66,), (190,), (), (), (129,), (50,), (), (15,), (189,), (155,), (), (), (58,), (), ()]
-1,38.3650000095,[(), (99,), (), (), (116,), (), (), (196,), (), (), (32,), (), (66,), (124,), (), (23,), (11,), (9,), (), ()]
2,35.1519999504,[(34,), (), (), (), (), (), (7,), (), (113,), (), (154,), (138,), (), (), (162,), (137,), (74,), (9,), (), ()]
4,35.1410000324,[(138,), (), (), (), (), (), (187,), (), (74,), (41,), (), (99,), (42,), (), (), (49,), (), (33,), (66,), ()]
-4,36.7819998264,[(129,), (16,), (), (41,), (), (7,), (23,), (175,), (50,), (), (), (25,), (), (), (11,), (), (155,), (124,), (), ()]
-2,32.0510001183,[(148,), (), (74,), (), (58,), (), (), (116,), (9,), (23,), (3,), (24,), (), (), (118,), (), (187,), (15,), (), ()]
-1,36.2290000916,[(34,), (), (), (146,), (), (116,), (), (171,), (), (142,), (162,), (), (), (138,), (24,), (), (196,), (181,), (), ()]
-3,38.5419998169,[(74,), (102,), (49,), (), (187,), (), (), (50,), (), (25,), (), (163,), (), (), (), (138,), (), (108,), (), ()]
1,35.248000145,[(), (187,), (), (84,), (), (), (), (), (116,), (), (144,), (172,), (49,), (), (74,), (149,), (197,), (69,), (), ()]
-2,38.1970000267,[(), (32,), (), (23,), (124,), (), (), (), (50,), (), (180,), (), (162,), (179,), (), (24,), (), (66,), (), ()]
6,33.7109999657,[(), (157,), (), (), (179,), (), (162,), (163,), (), (), (), (75,), (), (), (), (155,), (196,), (), (187,), ()]
-12,37.5899999142,[(26,), (), (18,), (99,), (117,), (), (187,), (), (16,), (100,), (), (196,), (15,), (32,), (), (8,), (154,), (), (148,), ()]
2,37.3440001011,[(), (16,), (74,), (), (23,), (), (32,), (56,), (7,), (41,), (), (), (), (17,), (), (116,), (), (), (137,), ()]
-4,38.0230000019,[(116,), (83,), (49,), (74,), (), (), (32,), (), (142,), (66,), (), (126,), (), (44,), (129,), (), (24,), (), (), ()]
