Reward,Time,Seed
85,24.9309999943,[(0,), (), (), (), (), (), (), (), (), (), (8,), (63,), (), (), (), (49,), (), (54,), (50,), ()]
58,26.0559999943,[(0,), (), (), (), (), (), (), (), (), (), (), (), (), (), (15,), (), (), (9,), (), ()]
59,26.6199998856,[(0,), (), (), (), (), (), (), (), (), (), (), (2,), (), (), (), (), (9,), (), (), ()]
63,26.1510000229,[(0,), (), (), (), (), (), (), (), (), (), (15,), (), (22,), (), (), (8,), (), (3,), (), ()]
32,29.3940000534,[(0,), (), (), (), (), (), (), (), (1,), (), (), (), (), (), (), (), (), (8,), (), ()]
63,26.1059999466,[(0,), (), (), (), (), (), (), (), (), (), (), (9,), (), (), (8,), (), (), (), (), ()]
68,25.8830001354,[(0,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (15,), (), (), (21,), ()]
68,25.8999998569,[(0,), (), (), (), (), (), (), (), (), (), (), (), (), (), (22,), (), (), (), (), ()]
83,25.2750000954,[(0,), (), (), (), (), (), (), (), (), (), (), (), (29,), (8,), (), (31,), (), (50,), (), ()]
49,26.1960000992,[(1,), (), (), (), (), (), (), (), (), (), (9,), (), (), (), (), (), (), (), (), ()]
64,25.7349998951,[(0,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (15,), (), (), ()]
63,24.9419999123,[(0,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (15,), (), (), ()]
60,26.3500001431,[(0,), (), (), (), (), (), (), (), (3,), (), (), (), (13,), (), (), (24,), (), (), (), ()]
88,26.3519999981,[(0,), (), (), (), (), (1,), (), (), (), (), (), (), (), (), (), (), (), (), (63,), ()]
58,26.0099999905,[(0,), (), (), (), (), (), (), (), (), (), (), (), (39,), (), (), (22,), (), (), (), ()]
53,26.9210000038,[(0,), (), (), (), (), (), (), (), (), (15,), (), (), (), (39,), (), (), (29,), (), (12,), ()]
74,26.757999897,[(0,), (), (), (), (), (), (), (), (), (4,), (), (), (), (), (), (), (), (), (), ()]
67,26.3430001736,[(0,), (), (), (), (), (), (), (), (), (4,), (), (), (8,), (), (), (3,), (), (), (), ()]
58,25.7459998131,[(0,), (), (), (), (), (), (), (), (), (), (), (), (8,), (), (), (39,), (), (), (), ()]
67,25.9739999771,[(0,), (), (), (), (), (), (), (), (), (), (), (15,), (), (), (), (4,), (), (), (), ()]
74,25.6550002098,[(0,), (), (), (), (), (), (), (), (), (), (), (15,), (), (), (), (), (8,), (), (), ()]
45,26.626999855,[(0,), (), (), (), (), (), (), (1,), (), (), (), (), (14,), (), (), (), (), (15,), (), ()]
67,26.6649999619,[(0,), (), (), (), (), (), (), (), (), (), (), (), (22,), (), (), (), (), (), (), ()]
74,24.8370001316,[(0,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (1,), (), (), (), ()]
59,26.3959999084,[(0,), (), (), (), (), (), (), (), (), (), (), (), (19,), (), (24,), (), (), (3,), (), ()]
54,26.9210000038,[(0,), (), (), (), (), (), (), (1,), (), (), (), (), (), (24,), (), (8,), (), (), (10,), ()]
58,28.6830000877,[(0,), (), (), (), (1,), (), (), (), (), (), (), (10,), (), (), (), (), (), (), (), ()]
52,29.0429999828,[(0,), (), (), (1,), (), (), (10,), (), (), (), (), (), (), (), (), (14,), (), (15,), (), ()]
59,27.5769999027,[(0,), (), (), (1,), (), (), (), (), (), (), (), (), (), (17,), (), (), (12,), (), (23,), ()]
70,26.1760001183,[(0,), (), (), (), (), (), (), (), (), (), (), (), (), (39,), (), (22,), (), (), (31,), ()]
83,25.6619999409,[(0,), (), (), (), (), (), (), (), (), (), (15,), (), (3,), (), (10,), (), (), (), (), ()]
73,25.7039999962,[(0,), (), (), (), (), (), (), (), (), (), (), (), (), (3,), (), (), (), (), (21,), ()]
59,26.2950000763,[(0,), (), (), (), (), (), (), (), (), (), (), (12,), (), (), (29,), (), (23,), (), (), ()]
26,28.5789999962,[(0,), (), (), (1,), (), (), (), (), (), (), (), (), (), (8,), (), (), (22,), (), (), ()]
70,26.5850000381,[(0,), (), (), (), (), (), (), (), (), (), (), (), (), (), (2,), (), (), (8,), (), ()]
35,28.8259999752,[(0,), (), (), (), (), (), (), (1,), (), (), (3,), (), (), (), (), (9,), (), (), (), ()]
44,27.7969999313,[(0,), (), (), (), (), (), (), (), (), (), (1,), (), (22,), (), (), (), (), (3,), (), ()]
59,25.489000082,[(0,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (8,), (), (), (16,), ()]
76,25.4879999161,[(0,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (63,), ()]
65,25.5840001106,[(1,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (2,), ()]
74,26.5920000076,[(0,), (), (), (), (), (), (), (), (19,), (), (8,), (), (), (), (39,), (), (29,), (), (31,), ()]
61,25.7939999104,[(0,), (), (), (), (), (), (), (), (), (), (), (), (), (3,), (), (), (), (22,), (), ()]
65,26.381000042,[(0,), (), (), (), (), (), (), (), (), (22,), (), (), (), (), (2,), (), (), (8,), (), ()]
52,26.239000082,[(0,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (15,), (), (), (29,), ()]
54,27.4859998226,[(0,), (), (), (1,), (), (), (), (), (), (), (), (), (), (), (15,), (), (24,), (), (), ()]
