Reward,Time,Actions
35,26.6289999485,[(32,), (), (), (), (), (), (), (), (), (), (), (), (125,), (), (91,), (148,), (27,), (108,), (187,), ()]
14,29.5090000629,[(126,), (), (12,), (), (), (), (), (), (125,), (), (101,), (), (167,), (8,), (129,), (), (85,), (124,), (116,), ()]
20,27.9779999256,[(13,), (), (), (), (), (), (), (), (141,), (155,), (53,), (), (), (187,), (), (116,), (), (1,), (), ()]
25,24.2130000591,[(6,), (), (), (), (), (), (), (), (), (), (110,), (26,), (), (), (), (100,), (), (), (), ()]
38,30.7349998951,[(16,), (24,), (68,), (117,), (), (), (), (), (), (), (), (), (), (), (8,), (118,), (53,), (), (), ()]
28,25.0490000248,[(18, 114, 118, 125), (), (), (), (), (), (), (), (91,), (), (175,), (116,), (54,), (20,), (21,), (174,), (), (179,), (108,), ()]
30,27.9349999428,[(21,), (), (), (), (), (), (39,), (9,), (), (), (), (), (), (), (124,), (162,), (7,), (99,), (16,), ()]
29,26.1010000706,[(21, 40, 155, 179), (), (), (28,), (), (), (), (), (), (154,), (108,), (26,), (), (25,), (), (), (), (), (), ()]
16,28.6549999714,[(23, 28, 31, 146), (), (), (), (), (), (16,), (155,), (), (109,), (), (75,), (149,), (), (20,), (154,), (187,), (), (167,), ()]
36,23.5420000553,[(103,), (), (), (), (), (), (), (), (), (), (), (157,), (49,), (198,), (), (112,), (), (188,), (147,), ()]
24,30.2109999657,[(84,), (111,), (113,), (), (27,), (), (0,), (), (), (), (), (), (), (), (), (), (), (126,), (), ()]
15,28.114000082,[(14, 25, 172), (), (), (), (23,), (155,), (155,), (101,), (), (), (), (), (), (), (), (26,), (), (187,), (131,), ()]
29,27.5160000324,[(106,), (), (), (), (), (), (), (), (), (101,), (), (103,), (), (196,), (24,), (124,), (44,), (), (179,), ()]
36,26.2070000172,[(51, 112), (), (), (), (), (), (), (76,), (), (), (118,), (), (187,), (), (133,), (), (114,), (137,), (146,), ()]
37,24.3880000114,[(156,), (), (125,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (51,), (41,), ()]
40,28.0609998703,[(), (150,), (), (), (), (), (), (), (), (), (60,), (), (74,), (9,), (129,), (24,), (), (125,), (), ()]
19,27.7300000191,[(26, 109, 159), (), (), (), (), (15,), (), (), (100,), (), (), (), (), (), (), (101,), (), (), (), ()]
37,25.5160000324,[(3, 28, 86), (), (), (), (), (), (27,), (138,), (), (), (), (), (), (162,), (26,), (), (), (154,), (), ()]
31,26.0820000172,[(1,), (), (), (), (), (), (), (), (), (23,), (), (), (), (18,), (171,), (188,), (92,), (), (116,), ()]
29,26.6800000668,[(62, 139), (), (25,), (), (), (), (), (), (), (), (137,), (150,), (), (15,), (), (), (58,), (93,), (117,), ()]
34,24.2559998035,[(53,), (), (), (), (), (), (), (), (), (), (101,), (100,), (), (), (), (), (162,), (125,), (94,), ()]
27,26.492000103,[(75,), (), (), (), (), (), (), (3,), (), (), (0,), (), (), (), (), (83,), (), (9,), (), ()]
28,27.7699999809,[(26,), (), (88,), (), (3,), (), (), (), (), (), (), (), (), (129,), (2,), (), (), (187,), (), ()]
25,27.9960000515,[(1,), (), (), (), (), (), (), (), (), (88,), (193,), (), (175,), (157,), (), (), (108,), (), (162,), ()]
28,29.9249999523,[(13, 63), (), (112,), (), (2,), (), (), (), (), (128,), (102,), (), (197,), (), (), (), (), (), (), ()]
31,26.2730000019,[(9,), (), (), (), (), (), (), (), (), (188,), (), (4,), (25,), (), (74,), (15,), (92,), (), (), ()]
37,26.989000082,[(0,), (), (), (), (), (), (), (117,), (), (99,), (), (32,), (2,), (41,), (138,), (), (124,), (187,), (), ()]
7,30.9499998093,[(15,), (), (2,), (), (), (), (165,), (187,), (), (3,), (), (), (), (), (23,), (179,), (25,), (), (162,), ()]
6,30.3440001011,[(125,), (), (), (), (33,), (61,), (146,), (75,), (), (), (), (), (), (), (187,), (32,), (163,), (), (74,), ()]
36,25.8139998913,[(25,), (), (), (), (), (), (), (), (), (23,), (119,), (), (137,), (), (118,), (), (162,), (103,), (), ()]
32,27.9170000553,[(), (28,), (), (), (), (), (), (), (), (3,), (), (196,), (), (32,), (), (146,), (171,), (41,), (), ()]
38,25.3860001564,[(16,), (23,), (), (160,), (), (), (), (), (), (), (), (), (), (15,), (133,), (), (99,), (), (91,), ()]
28,24.3629999161,[(101,), (), (), (), (), (), (), (), (), (), (), (), (175,), (154,), (), (1,), (), (99,), (116,), ()]
4,31.125,[(), (150,), (), (), (), (), (12,), (), (), (), (), (), (), (88,), (24,), (9,), (), (113,), (187,), ()]
31,25.4240000248,[(7, 94, 136, 167, 175), (), (), (), (), (), (), (), (), (), (), (103,), (), (), (), (), (157,), (), (187,), ()]
33,25.5490000248,[(118,), (), (), (12,), (), (), (), (), (), (), (), (187,), (7,), (154,), (), (), (), (91,), (), ()]
31,25.9089999199,[(28,), (), (), (), (), (), (), (), (), (99,), (), (23,), (36,), (2,), (180,), (), (32,), (112,), (), ()]
35,27.878000021,[(26, 172), (), (25,), (), (), (), (), (), (), (), (155,), (), (), (124,), (15,), (154,), (117,), (180,), (), ()]
23,27.3069999218,[(67, 127, 150), (), (9,), (), (), (), (), (), (), (), (), (), (), (26,), (), (), (), (), (), ()]
21,28.9479999542,[(6, 42, 78, 194), (), (), (), (), (), (162,), (32,), (179,), (125,), (), (118,), (193,), (140,), (58,), (103,), (), (74,), (142,), ()]
34,24.1220002174,[(7,), (), (), (), (), (), (), (), (), (), (), (19,), (11,), (109,), (163,), (), (112,), (), (), ()]
24,30.2199997902,[(), (50,), (), (193,), (12,), (), (), (), (), (), (87,), (17,), (), (118,), (), (), (27,), (180,), (), ()]
36,29.1950001717,[(38,), (32,), (), (), (), (), (), (), (), (99,), (), (26,), (165,), (124,), (), (127,), (8,), (), (), ()]
36,27.3059999943,[(112,), (), (), (), (), (), (), (), (99,), (), (27,), (45,), (), (91,), (), (39,), (146,), (), (41,), ()]
28,26.8309998512,[(37, 128, 162), (), (), (), (), (), (), (), (), (), (154,), (126,), (), (76,), (), (2,), (180,), (7,), (), ()]
36,21.1820001602,[(), (1,), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (16,), (59,), (142,), ()]
40,26.9529998302,[(56,), (), (140,), (), (), (), (), (), (), (), (), (), (118,), (8,), (), (), (84,), (), (162,), ()]
35,29.4090001583,[(), (112,), (), (75,), (), (7,), (), (), (), (), (), (), (), (), (), (196,), (), (162,), (), ()]
30,24.2249999046,[(125,), (), (), (), (), (), (), (), (), (), (), (22,), (188,), (104,), (171,), (), (29,), (168,), (187,), ()]
20,24.1259999275,[(1, 8, 117), (), (), (), (), (), (), (16,), (), (76,), (), (), (), (), (), (124,), (), (53,), (196,), ()]
31,23.4260001183,[(9, 70, 112), (), (), (), (), (37,), (), (), (), (), (), (), (), (), (), (88,), (12,), (), (), ()]
39,27.5390000343,[(115,), (), (), (), (), (), (), (), (), (), (), (24,), (196,), (74,), (129,), (), (9,), (119,), (), ()]
26,26.6819999218,[(112, 124, 187), (), (), (), (), (), (), (15,), (), (108,), (91,), (), (41,), (24,), (137,), (99,), (188,), (), (49,), ()]
25,29.8600001335,[(118,), (), (76,), (), (), (), (), (), (), (), (67,), (148,), (12,), (), (), (62,), (138,), (91,), (108,), ()]
29,26.5609998703,[(20, 53, 71), (), (), (), (), (), (), (), (), (), (131,), (10,), (156,), (116,), (), (118,), (32,), (99,), (8,), ()]
34,26.8789999485,[(), (26,), (), (), (), (), (), (), (), (), (), (118,), (23,), (), (140,), (155,), (70,), (24,), (116,), ()]
22,27.3920001984,[(16,), (187,), (163,), (), (), (), (), (), (), (), (), (4,), (124,), (50,), (), (112,), (), (125,), (), ()]
29,24.0909998417,[(27, 103, 142), (), (), (), (), (), (), (), (), (75,), (), (198,), (), (101,), (58,), (), (23,), (), (), ()]
17,29.746999979,[(1,), (), (100,), (), (), (), (3,), (), (), (19,), (99,), (104,), (), (), (), (), (), (), (), ()]
30,25.9539999962,[(15,), (), (), (), (), (), (), (), (147,), (), (188,), (), (9,), (167,), (), (116,), (), (23,), (), ()]
32,26.9409999847,[(156,), (), (112,), (), (), (), (), (), (), (), (), (), (99,), (51,), (116,), (), (102,), (), (), ()]
18,27.8029999733,[(1,), (), (), (), (), (), (), (), (36,), (162,), (191,), (130,), (187,), (74,), (125,), (), (16,), (95,), (), ()]
30,31.756000042,[(104,), (34,), (116,), (75,), (), (70,), (29,), (12,), (), (), (), (), (), (), (), (), (), (), (), ()]
18,28.8650000095,[(), (8,), (), (101,), (), (), (), (), (), (), (), (137,), (154,), (), (), (179,), (111,), (), (187,), ()]
26,29.0099999905,[(9,), (), (100,), (), (), (), (), (), (), (), (7,), (), (15,), (155,), (), (112,), (), (125,), (146,), ()]
35,31.2100000381,[(157,), (66,), (126,), (), (17,), (113,), (162,), (), (), (), (), (), (), (), (), (), (), (), (129,), ()]
39,26.8919999599,[(), (25,), (), (), (), (), (), (), (32,), (), (118,), (77,), (), (126,), (), (), (24,), (116,), (49,), ()]
32,26.131000042,[(87,), (), (), (), (114,), (15,), (), (), (), (), (), (), (12,), (), (), (), (), (), (), ()]
31,27.3629999161,[(25, 56, 62), (), (), (), (), (), (), (2,), (68,), (), (), (74,), (157,), (137,), (), (6,), (), (), (129,), ()]
37,23.2850000858,[(12,), (), (), (), (), (), (), (), (), (), (), (), (138,), (), (169,), (), (140,), (), (49,), ()]
36,29.0859999657,[(125,), (), (), (), (), (), (), (165,), (), (162,), (), (157,), (), (74,), (164,), (), (99,), (), (32,), ()]
21,28.8930001259,[(44,), (100,), (), (), (), (), (), (), (130,), (3,), (), (), (127,), (23,), (88,), (188,), (19,), (41,), (), ()]
34,27.8589999676,[(18,), (), (), (), (), (), (), (), (), (15,), (), (137,), (112,), (), (154,), (109,), (182,), (), (124,), ()]
32,28.378000021,[(13,), (), (), (), (), (), (), (100,), (), (41,), (29,), (), (162,), (116,), (), (7,), (133,), (74,), (124,), ()]
37,26.9789998531,[(), (9,), (), (), (), (7,), (), (), (), (), (), (), (), (), (137,), (), (108,), (32,), (), ()]
27,29.0410001278,[(50, 92), (), (), (), (), (100,), (), (187,), (33,), (176,), (154,), (10,), (), (), (), (), (), (), (), ()]
29,21.996999979,[(28, 138, 151, 178), (), (), (), (), (), (), (), (103,), (), (), (), (), (), (), (113,), (9,), (), (), ()]
19,29.3299999237,[(32,), (), (), (), (), (), (), (), (), (133,), (131,), (74,), (), (181,), (16,), (), (165,), (68,), (), ()]
30,26.4360001087,[(150,), (), (), (), (), (), (), (), (50,), (), (), (), (), (87,), (154,), (), (162,), (116,), (), ()]
22,30.2389998436,[(76,), (74,), (150,), (), (), (), (), (), (75,), (), (62,), (7,), (), (), (), (), (3,), (), (), ()]
34,32.0760002136,[(30,), (68,), (), (), (), (40,), (), (), (18,), (), (), (), (), (), (), (), (), (), (), ()]
34,24.7349998951,[(125, 139), (), (), (), (), (), (), (), (118,), (), (), (129,), (0,), (), (), (), (), (), (92,), ()]
33,25.8329999447,[(), (25,), (), (), (), (), (), (), (), (), (91,), (), (19,), (23,), (), (142,), (102,), (99,), (190,), ()]
33,24.9000000954,[(150,), (), (), (), (), (), (), (), (), (125,), (83,), (), (), (26,), (137,), (), (67,), (187,), (8,), ()]
32,26.4329998493,[(7,), (), (), (), (), (), (), (), (), (113,), (137,), (), (), (18,), (198,), (154,), (77,), (), (129,), ()]
42,28.0960001945,[(116,), (144,), (50,), (), (), (), (), (), (), (), (), (), (166,), (), (91,), (), (16,), (), (36,), ()]
22,23.993999958,[(25, 69, 157), (), (), (), (), (), (), (116,), (28,), (), (), (), (), (59,), (), (), (), (112,), (), ()]
27,25.6349999905,[(37,), (), (), (), (), (), (), (), (), (), (), (84,), (191,), (125,), (), (129,), (60,), (137,), (), ()]
27,27.8599998951,[(3, 131, 139, 181), (), (), (), (), (), (), (), (43,), (140,), (86,), (), (81,), (), (137,), (), (53,), (169,), (), ()]
29,26.4060001373,[(50,), (), (), (), (), (), (), (99,), (52,), (63,), (), (), (125,), (), (118,), (111,), (49,), (151,), (132,), ()]
33,24.6059999466,[(40, 100), (), (), (), (), (), (), (), (), (13,), (), (175,), (8,), (), (), (), (109,), (49,), (), ()]
23,27.0810000896,[(15,), (), (106,), (), (), (), (), (), (), (), (74,), (), (187,), (60,), (34,), (109,), (12,), (), (), ()]
26,27.6459999084,[(81,), (189,), (), (), (), (), (), (), (), (), (137,), (92,), (53,), (), (), (60,), (101,), (), (), ()]
22,28.0550000668,[(31,), (), (68,), (154,), (), (), (), (3,), (), (), (), (), (), (125,), (), (13,), (), (190,), (36,), ()]
17,29.6749999523,[(21,), (), (), (), (131,), (), (), (), (), (), (), (68,), (108,), (59,), (78,), (74,), (9,), (), (41,), ()]
34,25.5439999104,[(15,), (), (), (), (), (), (), (), (), (), (125,), (), (), (13,), (154,), (), (16,), (), (23,), ()]
28,28.6040000916,[(23,), (125,), (), (), (), (103,), (), (), (), (), (), (), (), (137,), (188,), (), (), (12,), (), ()]
33,27.7590000629,[(12, 19), (), (), (), (), (), (), (), (43,), (49,), (124,), (103,), (108,), (62,), (), (), (), (131,), (116,), ()]
19,27.4859998226,[(32,), (), (0,), (), (), (), (), (), (), (16,), (112,), (), (), (), (), (137,), (199,), (53,), (), ()]
23,29.6970000267,[(2, 99, 105), (), (171,), (34,), (116,), (99,), (), (), (), (50,), (), (), (), (), (), (), (), (), (), ()]
30,26.7009999752,[(13,), (), (), (), (), (), (), (163,), (), (), (115,), (103,), (), (23,), (), (187,), (99,), (), (162,), ()]
32,23.3550000191,[(), (3,), (), (), (), (), (), (), (), (), (), (), (), (), (), (149,), (162,), (9,), (32,), ()]
32,28.0810000896,[(), (62,), (), (), (), (), (), (), (), (41,), (), (), (187,), (), (19,), (11,), (103,), (99,), (), ()]
23,33.7739999294,[(9,), (), (187,), (41,), (), (32,), (24,), (13,), (), (126,), (), (4,), (), (), (), (), (), (), (18,), ()]
42,26.4230000973,[(), (50,), (), (), (), (), (), (), (), (131,), (15,), (), (5,), (), (34,), (), (162,), (74,), (83,), ()]
29,27.0639998913,[(), (7,), (), (), (), (), (), (), (), (163,), (108,), (116,), (109,), (12,), (), (), (137,), (180,), (117,), ()]
21,28.4550001621,[(163,), (32,), (), (2,), (), (), (), (), (), (), (), (), (9,), (), (126,), (124,), (112,), (), (), ()]
27,27.8559999466,[(103,), (), (), (112,), (), (), (25,), (), (), (), (), (), (), (), (), (), (7,), (), (124,), ()]
34,26.1029999256,[(19,), (), (), (), (), (), (), (3,), (), (), (), (), (), (), (23,), (130,), (29,), (187,), (135,), ()]
28,25.4670000076,[(101,), (), (75,), (), (), (), (), (), (), (), (50,), (), (), (), (), (), (53,), (127,), (), ()]
30,23.995000124,[(15, 40, 117, 165), (), (), (), (), (), (), (), (), (75,), (), (), (59,), (3,), (), (), (118,), (94,), (146,), ()]
33,22.7239999771,[(40, 193, 197), (), (), (), (), (), (), (), (), (), (), (), (), (88,), (), (140,), (66,), (198,), (), ()]
36,19.5929999352,[(4, 10), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (), (148,), (187,), (66,), ()]
32,31.7779998779,[(), (193,), (23,), (116,), (100,), (), (15,), (), (), (), (), (), (), (), (2,), (176,), (26,), (), (), ()]
31,24.1710000038,[(50,), (), (), (), (), (), (), (), (), (), (99,), (16,), (), (131,), (), (103,), (), (21,), (), ()]
36,29.0920000076,[(), (0,), (), (), (), (), (), (119,), (187,), (118,), (), (162,), (), (74,), (197,), (124,), (33,), (109,), (), ()]
30,29.853000164,[(2, 95), (), (49,), (3,), (), (), (), (), (), (), (), (131,), (173,), (), (74,), (), (), (), (155,), ()]
30,25.6799998283,[(25, 79, 136, 150), (), (), (), (), (), (), (), (), (103,), (89,), (), (125,), (99,), (), (74,), (), (171,), (180,), ()]
25,27.0360000134,[(4, 88, 128), (), (), (), (), (), (), (125,), (), (8,), (15,), (), (156,), (129,), (188,), (), (32,), (187,), (), ()]
33,30.1579999924,[(), (156,), (), (1,), (), (), (), (), (), (162,), (), (154,), (), (125,), (136,), (), (37,), (), (24,), ()]
19,25.7670001984,[(15, 57, 120), (), (), (), (), (), (), (), (), (19,), (124,), (), (23,), (77,), (125,), (), (113,), (36,), (74,), ()]
29,28.6459999084,[(101,), (), (), (), (), (), (113,), (), (), (99,), (), (191,), (), (), (140,), (10,), (76,), (85,), (23,), ()]
41,28.9079999924,[(32,), (), (), (), (), (), (), (147,), (24,), (), (23,), (), (129,), (), (9,), (12,), (), (), (16,), ()]
32,24.1860001087,[(), (0,), (), (), (), (), (), (), (), (), (), (), (), (175,), (), (68,), (126,), (), (99,), ()]
32,27.8549997807,[(50, 65, 159), (), (), (), (), (), (17,), (), (140,), (112,), (), (24,), (12,), (), (), (162,), (99,), (), (129,), ()]
32,27.3360002041,[(150, 183), (), (25,), (), (), (), (), (), (), (53,), (), (12,), (), (), (74,), (), (37,), (171,), (), ()]
14,26.6019999981,[(109, 131), (), (50,), (), (), (), (), (25,), (), (), (), (), (102,), (42,), (), (171,), (146,), (163,), (), ()]
11,25.5899999142,[(13,), (), (), (37,), (), (), (), (), (), (), (), (7,), (), (50,), (), (131,), (125,), (), (91,), ()]
33,25.9270000458,[(84, 98, 112, 180), (), (), (), (), (), (), (), (148,), (179,), (109,), (28,), (124,), (), (), (24,), (), (86,), (), ()]
41,25.9659998417,[(103, 121, 142, 148), (), (), (), (), (), (), (), (149,), (162,), (), (108,), (), (27,), (180,), (), (66,), (187,), (171,), ()]
30,27.6180000305,[(7,), (), (), (), (), (), (), (15,), (), (187,), (91,), (), (53,), (154,), (), (8,), (174,), (99,), (117,), ()]
35,26.7550001144,[(51,), (), (), (), (), (), (), (), (), (188,), (187,), (), (162,), (), (32,), (112,), (), (), (), ()]
38,31.0789999962,[(126,), (), (187,), (49,), (146,), (162,), (), (), (53,), (), (), (), (), (), (), (), (62,), (), (99,), ()]
28,27.2809998989,[(32,), (), (28,), (), (), (), (), (), (), (), (112,), (99,), (), (103,), (101,), (), (15,), (), (), ()]
33,24.1500000954,[(27, 148), (), (), (), (), (), (), (), (), (), (), (), (32,), (162,), (), (140,), (74,), (103,), (17,), ()]
18,29.2909998894,[(7,), (), (17,), (66,), (112,), (), (), (12,), (), (), (), (125,), (), (), (), (), (), (), (), ()]
27,26.8630001545,[(125,), (), (), (), (), (), (), (), (137,), (147,), (), (67,), (62,), (196,), (), (), (), (), (), ()]
22,27.2809998989,[(125,), (), (), (), (), (), (), (), (9,), (129,), (), (23,), (199,), (104,), (25,), (), (179,), (155,), (162,), ()]
32,25.0250000954,[(76,), (), (), (), (), (), (), (), (131,), (12,), (), (), (), (192,), (), (41,), (), (23,), (187,), ()]
25,25.1889998913,[(53,), (), (), (), (), (), (), (), (), (96,), (20,), (29,), (126,), (125,), (), (130,), (16,), (24,), (163,), ()]
31,24.1589999199,[(6,), (), (), (), (), (), (), (), (), (), (32,), (), (130,), (129,), (118,), (), (), (43,), (17,), ()]
27,24.9910001755,[(50,), (), (), (), (), (), (), (), (101,), (), (), (179,), (1,), (), (153,), (156,), (), (), (116,), ()]
35,28.4419999123,[(), (25,), (), (), (), (), (), (), (), (125,), (162,), (85,), (150,), (74,), (), (171,), (), (28,), (), ()]
37,24.5420000553,[(4, 103), (), (), (), (), (), (), (), (), (), (101,), (), (7,), (26,), (), (), (), (144,), (154,), ()]
44,25.3499999046,[(9,), (), (6,), (), (), (), (), (), (), (), (), (), (), (), (), (), (179,), (), (), ()]
43,23.6340000629,[(), (112,), (), (), (), (), (), (), (), (), (), (), (162,), (3,), (), (32,), (), (117,), (), ()]
19,26.7590000629,[(125,), (), (), (), (), (), (), (), (), (43,), (), (121,), (74,), (153,), (), (129,), (), (), (124,), ()]
