Reward,Time,Seed
39,19.4070000648,[(0,), (), (), (), (), (), (), (), (), (106,), (4,), (26,), (40,), (27,), (118,), (), (), (21,), (28,), ()]
30,18.8559999466,[(0,), (), (), (), (), (), (53,), (), (), (), (), (), (125,), (112,), (), (4,), (21,), (), (27,), ()]
37,18.7249999046,[(0,), (), (), (), (), (), (), (), (28,), (53,), (112,), (), (125,), (), (118,), (101,), (), (), (21,), ()]
30,18.0559999943,[(0,), (), (), (), (), (), (), (), (), (), (3,), (), (), (112,), (), (15,), (), (125,), (28,), ()]
34,19.503000021,[(0,), (), (), (), (), (), (), (125,), (15,), (4,), (40,), (), (), (26,), (62,), (), (), (27,), (21,), ()]
36,18.4820001125,[(0,), (), (), (), (), (), (), (), (), (), (103,), (), (37,), (), (125,), (), (26,), (101,), (), ()]
38,18.9419999123,[(0,), (), (), (), (), (), (), (112,), (), (28,), (), (), (), (), (), (9,), (), (40,), (75,), ()]
5,20.9320001602,[(0,), (), (), (3,), (), (50,), (), (100,), (), (), (112,), (), (), (), (6,), (), (15,), (), (37,), ()]
29,18.2209999561,[(0,), (), (), (), (), (), (), (), (), (15,), (), (100,), (), (), (), (125,), (), (26,), (), ()]
30,19.0409998894,[(0,), (), (), (), (), (), (), (), (15,), (), (), (112,), (), (), (), (125,), (), (), (26,), ()]
22,19.2769999504,[(0,), (), (), (), (), (), (50,), (), (), (12,), (), (), (6,), (), (), (), (112,), (), (), ()]
34,18.8190000057,[(0,), (), (), (), (), (), (3,), (), (), (), (100,), (), (), (), (15,), (), (1,), (), (), ()]
33,18.5960001945,[(0,), (), (), (), (), (), (), (), (), (28,), (112,), (), (), (2,), (9,), (), (), (), (40,), ()]
34,20.25,[(0,), (), (), (), (), (), (15,), (), (26,), (), (3,), (), (12,), (31,), (), (), (106,), (27,), (21,), ()]
34,18.1679999828,[(0,), (), (), (), (), (), (), (), (1,), (), (), (), (15,), (), (112,), (), (3,), (), (), ()]
43,19.2779998779,[(0,), (), (), (), (), (), (), (), (), (), (), (2,), (), (), (), (12,), (), (40,), (), ()]
32,18.4960000515,[(0,), (), (), (), (), (), (), (15,), (), (), (), (28,), (125,), (), (), (2,), (), (103,), (), ()]
37,19.8369998932,[(0,), (), (), (), (), (), (106,), (), (125,), (9,), (), (), (27,), (), (), (), (21,), (), (4,), ()]
28,19.253000021,[(0,), (), (), (), (), (), (), (28,), (), (53,), (), (), (), (101,), (150,), (), (112,), (), (26,), ()]
25,19.5740001202,[(0,), (), (), (), (), (), (), (28,), (), (112,), (), (37,), (), (4,), (62,), (), (), (), (26,), ()]
33,18.8139998913,[(0,), (), (), (), (), (), (1,), (), (), (), (), (112,), (), (), (15,), (), (), (), (150,), ()]
44,19.117000103,[(0,), (), (), (), (), (), (), (), (), (), (), (), (28,), (112,), (), (), (118,), (9,), (21,), ()]
51,18.986000061,[(0,), (), (), (), (), (), (), (), (103,), (2,), (), (112,), (), (), (), (4,), (), (40,), (101,), ()]
28,19.0130000114,[(0,), (), (), (), (), (), (), (50,), (), (), (1,), (), (15,), (), (), (), (), (), (26,), ()]
40,19.632999897,[(0,), (), (), (), (), (), (12,), (28,), (), (), (2,), (31,), (), (40,), (), (), (), (27,), (21,), ()]
